,Understandability,Modifiability,Reusability,Consistency
Ant2Maven,8,6,5,5
Assertion,3,5,5,6
ATL2Copy,5,4,7,6
BibTeX2DocBook,6,7,4,4
CodeClone2SVG,6,7,4,0
CodeClone2SVG2,2,4,2,2
DSL2KM3,3,3,2,4
DSL2XML,5,6,7,5
KM32Metrics,3,3,2,4
KM32Problem,5,1,6,5
Measure2Table,7,7,2,4
PathExp2PetriNet,3,4,3,3
PathExp2TextualPathExp,2,6,4,2
PetriNet2XML,4,3,3,2
R2ML2XML,3,3,7,3
SimpleSBVR2SimpleUML,6,5,5,3
Syntax2SimpleSBVR,6,6,4,8
Table2SVGBarChart,4,5,3,3
Table2SVGPieChart,4,3,2,5
UML2AnyLogic,7,5,6,6
UmlActivityDiagram2MSProject,7,1,3,2
WFR,3,8,7,6
